year,type_name,dt
2012,Контролируемый пал,327
2012,Лесной пожар,18428
2012,Неконтролируемый пал,2706
2012,Природный пожар,5089
2012,Торфяной пожар,27
2013,Контролируемый пал,5627
2013,Лесной пожар,8719
2013,Неконтролируемый пал,5371
2013,Природный пожар,4384
2013,Торфяной пожар,17
2014,Контролируемый пал,8365
2014,Лесной пожар,18337
2014,Неконтролируемый пал,23484
2014,Природный пожар,8646
2014,Торфяной пожар,66
2015,Контролируемый пал,6713
2015,Лесной пожар,18221
2015,Неконтролируемый пал,14054
2015,Природный пожар,8600
2015,Торфяной пожар,10
2016,Контролируемый пал,5915
2016,Лесной пожар,18542
2016,Неконтролируемый пал,25822
2016,Природный пожар,9615
2016,Торфяной пожар,11
2017,Контролируемый пал,14916
2017,Лесной пожар,10791
2017,Неконтролируемый пал,10296
2017,Природный пожар,6106
2017,Торфяной пожар,7
2018,Контролируемый пал,12704
2018,Лесной пожар,19216
2018,Неконтролируемый пал,8323
2018,Природный пожар,8731
2019,Контролируемый пал,18075
2019,Лесной пожар,31298
2019,Неконтролируемый пал,13591
2019,Природный пожар,12097
2019,Торфяной пожар,1
2020,Контролируемый пал,17071
2020,Лесной пожар,79065
2020,Неконтролируемый пал,24759
2020,Природный пожар,21440
2020,Торфяной пожар,22
2021,Контролируемый пал,12006
2021,Лесной пожар,83936
2021,Неконтролируемый пал,26077
2021,Природный пожар,12329
2021,Торфяной пожар,301
